,DateString,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Symbol,SwHL,Peak,Consol_Detected,Consol_LHS_Price,Consol_Len_Bars,Consol_Depth_Percent,Close_21_bar_ema,Close_50_bar_sma,Close_150_bar_sma,Close_200_bar_sma,RSL,RSL_NH,DayOfWeek,RS,RS_New_High,52_week_low,52_week_high,Stage 2
205,2024-01-17,77.84811,78.14562,76.2614,77.01509,4969664.0,382836670.0,77.66,0.0,DELL,-1,-1,False,0.0,0,0.0,75.8448357276944,73.26766433715821,64.00591771443685,58.90694761276245,0.016250618,False,2,85,False,,,False
206,2024-01-18,78.056366,78.343956,77.05475,77.75886,3102259.2,240934940.0,78.41,0.0,DELL,0,0,False,0.0,0,0.0,76.0188377276359,73.4441860961914,64.20570589701335,59.100540237426756,0.016264345,False,3,85,False,,,False
207,2024-01-19,78.46296,84.05116,78.46296,82.49916,9528041.0,781877100.0,83.19,0.0,DELL,1,0,False,0.0,0,0.0,76.6079580039055,73.66672256469727,64.43330940246582,59.314144916534424,0.01704595,True,4,86,False,,,False
208,2024-01-22,83.415596,83.4654,80.68621,80.82567,4264764.5,347245440.0,81.14,0.0,DELL,0,0,False,0.0,0,0.0,76.99138621581963,73.86292938232423,64.64440269470215,59.51986759185791,0.01666361,False,0,87,False,,,False
209,2024-01-23,80.68621,82.15052,80.228,82.11067,2683725.5,219308420.0,82.43,0.0,DELL,-1,0,False,0.0,0,0.0,77.45677583229696,74.06758071899414,64.86752293904622,59.73235509872436,0.016879223,False,1,87,False,,,False
210,2024-01-24,83.17653,84.59103,82.67846,83.38571,3651970.5,305737920.0,83.71,0.0,DELL,0,0,False,0.0,0,0.0,77.99576999935377,74.30249313354493,65.10136319478353,59.95398490905762,0.017127423,True,2,88,False,,,False
211,2024-01-25,84.16767,84.71056,82.68842,82.71831,2733896.0,228333600.0,83.04,0.0,DELL,1,1,False,0.0,0,0.0,78.42509158987772,74.49906661987305,65.32598810831706,60.16645221710205,0.01690143,False,3,88,False,,,False
212,2024-01-26,82.19036,84.053116,81.79829,83.89374,2938851.0,245644850.0,84.22,0.0,DELL,-1,0,False,0.0,0,0.0,78.92224124470418,74.71379364013671,65.55048413594564,60.38397142410278,0.01715278,True,4,88,False,,,False
213,2024-01-29,84.053116,84.34199,83.022125,83.086876,2720848.5,227315700.0,83.41,0.0,DELL,0,0,False,0.0,0,0.0,79.3008443965972,74.9100033569336,65.77227785746257,60.59614559173584,0.016860401,False,0,88,False,,,False
214,2024-01-30,85.387924,86.1151,83.99335,84.47149,3853840.5,327356600.0,84.8,0.0,DELL,1,1,False,0.0,0,0.0,79.77090299260078,75.1527474975586,66.00036437988281,60.811456260681155,0.017151674,False,1,89,False,,,False
215,2024-01-31,82.957375,83.266174,81.498955,82.55892,3601123.5,297139170.0,82.88,0.0,DELL,-1,-1,False,0.0,0,0.0,80.02435924908843,75.36517395019531,66.2152434539795,61.01414573669434,0.01703774,False,2,89,False,,,False
216,2024-02-01,83.27614,85.64692,82.67846,85.44769,2739927.2,232380530.0,85.78,0.0,DELL,0,0,False,0.0,0,0.0,80.51738957836164,75.61435180664063,66.44690004984538,61.22812358856201,0.017416304,True,3,90,False,,,False
217,2024-02-02,85.29827,86.563354,84.88986,85.9856,3698262.8,317785540.0,86.32,0.0,DELL,1,1,False,0.0,0,0.0,81.01449991964873,75.87904800415039,66.67345947265625,61.43716934204102,0.017340668,False,4,90,False,,,False
218,2024-02-05,86.194786,86.53347,84.43165,85.37796,2212792.2,188470940.0,85.71,0.0,DELL,0,0,False,0.0,0,0.0,81.41117812741503,76.12643447875976,66.88937385559082,61.651283988952635,0.017273162,False,0,91,False,,,False
219,2024-02-06,85.39789,85.656876,81.84172,82.3597,5034555.5,416164060.0,82.68,0.0,DELL,-1,0,False,0.0,0,0.0,81.49740766710137,76.29243194580079,67.08190213521321,61.85472499847412,0.016624117,False,1,91,False,,,False
